BotName;QA;ResponseType;Value;ArchitecturalAlternative;Level;Generator
m1;Modifiability;AffectedComponents;3;stplus-initial;Base;None
m1;Modifiability;Complexity;115;stplus-initial;Base;None
m2;Modifiability;AffectedComponents;5;stplus-initial;Base;None
m2;Modifiability;Complexity;190.5;stplus-initial;Base;None
p1;Performance;Latency;111.7639;stplus-initial;Base;None
p2;Performance;Latency;74.0173;stplus-initial;Base;None
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IExporter);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IExporter);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(ITripDB);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(ITripDB);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IEmployeePayment);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IEmployeePayment);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IBooking);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IBooking);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-wrapper(IBusinessTrip);First;Modifiability
m1;Modifiability;Complexity;115.0;stplus-mod-wrapper(IBusinessTrip);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(IExporter);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(IExporter);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(ITripDB);First;Modifiability
m1;Modifiability;Complexity;111.0;stplus-mod-split(PaymentSystem)-wrapper(ITripDB);First;Modifiability
m1;Modifiability;AffectedComponents;3;stplus-mod-split(PaymentSystem)-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;Complexity;110.5;stplus-mod-split(PaymentSystem)-wrapper(IExternalPayment);First;Modifiability
m1;Modifiability;AffectedComponents;4;stplus-mod-split(PaymentSystem)-wrapper(IEmployeePayment);First;Modifiability
